policy_id,age,gender,state,occupation,marital_status,credit_score,policy_type,annual_premium,policy_start_date,years_as_customer,num_prior_claims,has_violations
POL-00072,66,Female,MD,Software Engineer,Married,781,Comprehensive,7370.55,2021-01-06,13,7,0
POL-00073,48,Female,AZ,Sales Manager,Divorced,407,Standard,2973.53,2023-11-21,15,4,1
POL-00074,70,Male,MA,Teacher,Divorced,558,Premium,1369.41,2024-05-01,12,8,0
POL-00075,60,Female,AZ,Software Engineer,Married,830,Premium,5169.75,2022-10-17,14,0,0
POL-00076,35,Male,MI,Lawyer,Widowed,424,Basic,7798.6,2023-05-31,7,2,0
POL-00077,53,Male,MO,Electrician,Single,530,Basic,3960.86,2020-08-28,4,7,0
POL-00078,50,Female,AZ,Freelancer,Widowed,783,Standard,3925.9,2020-10-23,12,3,0
POL-00079,73,Male,NC,Doctor,Widowed,648,Premium,6654.12,2021-08-02,9,7,0
POL-00080,46,Female,VA,Sales Manager,Widowed,766,Premium,7022.01,2023-11-29,7,6,0
POL-00081,72,Female,TX,Sales Manager,Widowed,690,Comprehensive,7913.11,2024-06-10,4,7,0
POL-00082,26,Female,NY,Freelancer,Widowed,402,Comprehensive,615.11,2020-10-22,13,2,0
POL-00083,48,Female,NJ,Chef,Widowed,382,Premium,6892.56,2024-10-25,12,5,1
POL-00084,73,Male,WI,Teacher,Married,594,Standard,6100.75,2022-06-07,3,1,1
POL-00085,28,Female,CA,Software Engineer,Divorced,357,Premium,3188.48,2022-06-01,4,3,1
POL-00086,54,Male,IL,Nurse,Single,691,Standard,4232.5,2023-04-09,4,3,1
POL-00087,58,Female,MA,Accountant,Single,776,Premium,5582.08,2020-11-19,2,7,0
POL-00088,55,Female,AZ,Construction Worker,Divorced,767,Premium,1994.13,2022-02-26,15,1,0
POL-00089,42,Female,MD,Accountant,Divorced,322,Comprehensive,2558.6,2023-03-05,1,7,0
POL-00090,67,Male,WI,Doctor,Divorced,524,Standard,5156.68,2023-10-20,4,1,0
POL-00091,37,Female,TX,Chef,Divorced,434,Basic,7322.21,2021-10-31,13,2,0
POL-00092,26,Female,IN,Driver,Divorced,468,Premium,7355.37,2022-09-13,9,5,0
POL-00093,47,Male,PA,Doctor,Married,706,Premium,1177.27,2022-03-19,0,4,0
POL-00094,47,Female,NC,Chef,Widowed,680,Basic,5561.27,2022-08-23,0,8,0
POL-00095,57,Male,FL,Retail Worker,Widowed,609,Comprehensive,1375.07,2020-04-02,1,4,1
POL-00096,25,Male,GA,Student,Married,697,Comprehensive,3282.59,2024-03-01,13,2,1
POL-00097,59,Male,TN,Chef,Widowed,586,Basic,5677.1,2021-03-20,14,7,0
POL-00098,72,Female,NY,Retail Worker,Divorced,667,Basic,3486.05,2021-01-23,3,7,0
POL-00099,60,Male,WI,Software Engineer,Single,641,Standard,7916.16,2024-05-30,6,1,0
POL-00100,55,Male,GA,Sales Manager,Married,302,Premium,6938.05,2020-10-23,4,8,0
POL-00101,69,Male,NY,Retail Worker,Single,434,Basic,3186.82,2024-06-02,7,5,0
POL-00102,29,Female,TX,Nurse,Widowed,838,Basic,6092.49,2022-09-02,14,5,0
POL-00103,46,Male,WI,Software Engineer,Divorced,769,Basic,956.19,2022-09-07,12,6,0
POL-00104,49,Female,FL,Student,Single,629,Standard,992.62,2021-07-17,10,6,0
POL-00105,47,Female,NY,Doctor,Single,520,Comprehensive,3886.66,2021-04-12,13,5,1
POL-00106,43,Female,NY,Sales Manager,Widowed,620,Premium,3307.26,2020-11-08,15,1,0
POL-00107,71,Male,FL,Electrician,Single,681,Standard,4672.78,2023-04-16,10,1,1
POL-00108,40,Female,TX,Accountant,Divorced,660,Basic,4834.39,2021-03-11,4,7,0
POL-00109,72,Male,VA,Freelancer,Divorced,417,Premium,4805.75,2024-07-11,13,8,0
POL-00110,56,Female,CA,Nurse,Divorced,616,Premium,3132.68,2021-01-06,4,6,0
POL-00111,27,Male,FL,Construction Worker,Married,685,Comprehensive,3902.34,2020-11-18,11,4,0
POL-00112,67,Male,TX,Nurse,Married,350,Basic,2540.77,2023-09-17,13,7,1
POL-00113,44,Female,OH,Doctor,Single,653,Comprehensive,1331.67,2023-10-20,15,8,0
POL-00114,20,Male,WA,Chef,Single,307,Standard,2760.65,2021-03-08,4,4,0
POL-00115,38,Male,CA,Lawyer,Widowed,479,Standard,3351.56,2023-12-12,7,8,0
POL-00116,22,Female,TX,Electrician,Single,770,Basic,6965.83,2023-03-25,13,6,1
POL-00117,36,Male,WA,Software Engineer,Divorced,475,Comprehensive,6740.19,2022-01-11,2,6,0
POL-00118,33,Female,MD,Electrician,Single,705,Premium,6093.54,2021-03-29,10,2,0
POL-00119,50,Male,IN,Driver,Married,657,Premium,5955.34,2024-08-04,4,3,0
POL-00120,27,Female,OH,Nurse,Married,377,Standard,7634.69,2023-07-10,15,7,1
POL-00121,61,Female,NJ,Nurse,Widowed,369,Comprehensive,3816.56,2021-09-12,8,0,0
POL-00122,50,Male,MI,Lawyer,Widowed,338,Basic,3265.53,2021-08-10,2,1,1
POL-00123,47,Male,MA,Student,Married,629,Comprehensive,4260.25,2020-05-06,14,1,0
POL-00124,63,Male,IN,Retail Worker,Married,340,Standard,5807.16,2022-06-18,5,5,0
POL-00125,36,Female,AZ,Doctor,Divorced,353,Premium,994.34,2020-07-12,12,4,0
POL-00126,64,Male,NJ,Teacher,Married,658,Premium,7757.72,2023-12-01,12,2,0
POL-00127,37,Female,NJ,Freelancer,Married,839,Basic,5345.19,2022-05-17,11,0,0
POL-00128,37,Male,OH,Sales Manager,Widowed,496,Standard,7999.82,2020-11-13,2,4,0
POL-00129,50,Male,NJ,Student,Married,685,Standard,1716.85,2024-08-29,5,7,0
POL-00130,44,Female,GA,Lawyer,Divorced,759,Standard,4505.08,2021-09-25,15,3,0
POL-00131,61,Female,MA,Doctor,Divorced,691,Comprehensive,7747.01,2024-07-30,6,2,0
POL-00132,21,Female,VA,Driver,Single,828,Basic,2637.97,2024-04-11,5,4,1
POL-00133,75,Male,AZ,Teacher,Married,761,Premium,7478.54,2022-04-29,1,6,0
POL-00134,33,Female,FL,Sales Manager,Married,328,Premium,7481.19,2024-09-14,10,2,0
POL-00135,20,Female,TN,Construction Worker,Married,780,Comprehensive,5115.11,2020-06-11,0,4,0
POL-00136,71,Male,MO,Construction Worker,Widowed,413,Premium,2282.3,2020-09-06,1,3,1
POL-00137,58,Female,FL,Teacher,Widowed,848,Basic,5239.66,2023-03-23,7,2,0
POL-00138,45,Male,WI,Sales Manager,Married,726,Standard,5482.78,2020-06-24,11,1,0
POL-00139,42,Female,TX,Retail Worker,Widowed,682,Premium,6104.87,2022-01-01,2,5,0
POL-00140,64,Male,MD,Construction Worker,Divorced,436,Basic,3142.24,2021-11-24,5,7,1
POL-00141,58,Male,PA,Teacher,Widowed,337,Premium,2011.93,2024-06-08,6,0,0
POL-00142,37,Female,MO,Lawyer,Divorced,337,Standard,2645.83,2024-10-31,1,5,0
POL-00143,25,Female,AZ,Student,Widowed,750,Comprehensive,3042.77,2021-01-17,15,7,0
POL-00144,69,Female,FL,Construction Worker,Widowed,380,Comprehensive,5018.4,2024-08-11,5,8,0
POL-00145,38,Male,FL,Sales Manager,Divorced,613,Comprehensive,5019.66,2022-05-22,5,7,0
POL-00146,46,Male,VA,Chef,Widowed,581,Basic,1062.81,2023-07-29,12,5,0
POL-00147,19,Male,WI,Retail Worker,Widowed,335,Standard,1004.25,2024-05-13,11,5,1
POL-00148,54,Male,WI,Nurse,Widowed,679,Premium,3829.54,2020-06-06,4,8,0
POL-00149,43,Female,NC,Mechanic,Single,326,Standard,4242.83,2022-03-03,3,4,0
POL-00150,63,Female,OH,Chef,Divorced,802,Standard,1419.78,2024-10-12,2,7,0
POL-00151,75,Female,FL,Doctor,Divorced,655,Basic,4624.98,2021-08-17,9,2,0
POL-00152,68,Female,IN,Mechanic,Single,505,Standard,2275.52,2022-10-08,0,5,0
POL-00153,47,Male,WI,Student,Single,367,Premium,3486.2,2024-01-08,15,8,1
POL-00154,67,Female,MD,Teacher,Married,624,Basic,3874.81,2023-10-24,11,2,0
POL-00155,67,Male,AZ,Driver,Single,427,Standard,2780.93,2020-11-27,10,3,0
POL-00156,51,Female,FL,Accountant,Married,581,Standard,5187.67,2023-06-12,2,8,0
POL-00157,55,Male,IL,Retail Worker,Divorced,342,Basic,1109.17,2023-08-06,8,3,1
POL-00158,57,Male,TN,Student,Divorced,609,Comprehensive,2336.58,2024-07-11,12,4,1
POL-00159,22,Male,IL,Lawyer,Widowed,795,Comprehensive,2030.17,2023-05-27,4,5,0
POL-00160,64,Female,WA,Nurse,Divorced,827,Basic,2893.37,2022-08-13,3,4,1
POL-00161,33,Male,NY,Software Engineer,Divorced,693,Comprehensive,2362.03,2024-11-07,5,5,0
POL-00162,30,Male,TN,Driver,Widowed,810,Premium,4230.28,2020-07-03,12,8,1
POL-00163,33,Male,MD,Sales Manager,Single,351,Premium,4211.71,2024-12-12,15,4,0
POL-00164,72,Male,AZ,Nurse,Divorced,674,Comprehensive,3244.53,2022-03-31,1,8,0
POL-00165,41,Female,FL,Electrician,Widowed,586,Basic,1464.98,2020-07-17,12,5,0
POL-00166,53,Female,PA,Mechanic,Widowed,812,Basic,839.78,2020-10-07,10,7,1
POL-00167,27,Male,NJ,Student,Divorced,466,Comprehensive,7929.62,2024-02-23,9,5,1
POL-00168,63,Female,TN,Freelancer,Single,677,Premium,5553.55,2022-05-03,9,0,1
POL-00169,34,Male,TX,Chef,Widowed,474,Comprehensive,1608.32,2023-10-26,7,0,0
POL-00170,30,Male,MA,Sales Manager,Widowed,455,Comprehensive,5678.75,2022-04-20,15,0,0
POL-00171,51,Male,MO,Sales Manager,Widowed,838,Comprehensive,2853.14,2020-12-20,14,8,0
POL-00172,52,Female,NC,Chef,Widowed,496,Standard,2592.55,2021-09-03,7,4,0
POL-00173,63,Male,TN,Sales Manager,Widowed,657,Premium,2658.42,2023-03-20,12,6,0
POL-00174,67,Male,MI,Software Engineer,Divorced,380,Premium,7430.07,2023-09-05,8,7,0
POL-00175,30,Female,MO,Construction Worker,Divorced,440,Basic,5117.58,2023-04-16,7,3,0
POL-00176,60,Male,GA,Software Engineer,Single,723,Premium,5880.19,2020-07-24,4,0,0
POL-00177,44,Female,TN,Retail Worker,Married,594,Premium,2640.62,2020-05-01,2,3,0
POL-00178,29,Female,IL,Student,Single,706,Comprehensive,1897.34,2024-03-13,9,0,0
POL-00179,37,Male,NJ,Accountant,Widowed,836,Comprehensive,7169.45,2020-10-01,14,4,0
POL-00180,69,Male,NJ,Nurse,Widowed,563,Standard,605.63,2021-11-21,9,3,0
POL-00181,57,Female,AZ,Driver,Divorced,388,Comprehensive,5519.42,2021-01-13,4,7,0
POL-00182,33,Male,NC,Electrician,Married,757,Premium,7655.26,2021-09-10,0,4,0
POL-00183,62,Male,TX,Retail Worker,Single,776,Premium,1697.88,2023-11-06,9,1,0
POL-00184,41,Male,GA,Nurse,Widowed,456,Comprehensive,6108.01,2023-05-25,11,6,1
POL-00185,66,Male,GA,Retail Worker,Single,838,Comprehensive,4461.3,2022-01-10,2,1,0
POL-00186,71,Male,MD,Driver,Married,468,Premium,6908.65,2022-06-23,3,3,1
POL-00187,23,Female,TX,Lawyer,Married,825,Comprehensive,3925.99,2020-04-28,14,4,0
POL-00188,43,Female,CA,Construction Worker,Married,374,Basic,3677.73,2023-12-05,2,8,0
POL-00189,75,Male,TN,Software Engineer,Divorced,718,Standard,6267.29,2024-04-17,13,5,1
POL-00190,46,Female,WA,Teacher,Married,656,Basic,1838.55,2023-01-05,12,8,0
POL-00191,64,Male,CA,Doctor,Single,605,Comprehensive,5551.25,2023-01-20,13,8,1
POL-00192,70,Male,GA,Lawyer,Divorced,458,Premium,1913.6,2024-11-27,3,0,1
POL-00193,57,Male,GA,Mechanic,Single,403,Basic,3848.31,2023-10-08,1,3,0
POL-00194,43,Female,GA,Driver,Married,357,Standard,4279.22,2021-08-15,7,5,0
POL-00195,33,Female,PA,Retail Worker,Married,723,Premium,2563.65,2023-02-14,5,6,1
POL-00196,21,Female,WA,Doctor,Divorced,726,Comprehensive,1619.13,2022-02-09,5,8,1
POL-00197,33,Male,MI,Freelancer,Married,774,Basic,4717.89,2022-05-03,4,6,0
POL-00198,34,Male,NJ,Retail Worker,Single,760,Premium,1193.48,2024-01-23,6,0,0
POL-00199,42,Male,FL,Mechanic,Married,790,Standard,7021.05,2021-11-12,9,0,0
POL-00200,30,Male,TN,Student,Married,509,Comprehensive,7363.45,2023-02-04,10,4,1
POL-00201,47,Female,MI,Accountant,Divorced,825,Comprehensive,3995.03,2024-07-02,15,5,0
POL-00202,41,Female,AZ,Software Engineer,Married,449,Basic,2455.81,2023-04-11,13,4,0
POL-00203,30,Female,GA,Electrician,Married,811,Premium,2429.95,2024-08-09,15,7,1
POL-00204,28,Female,IL,Nurse,Widowed,488,Basic,4429.58,2024-09-14,2,0,0
POL-00205,44,Male,GA,Teacher,Married,309,Standard,4293.0,2022-02-03,1,7,1
POL-00206,19,Male,MO,Driver,Widowed,312,Basic,4470.63,2021-07-16,9,0,1
POL-00207,69,Male,NY,Student,Single,836,Standard,2307.27,2023-06-23,8,5,0
POL-00208,68,Female,FL,Sales Manager,Widowed,770,Standard,7926.75,2021-04-07,9,1,0
POL-00209,23,Female,WA,Electrician,Widowed,357,Basic,5771.34,2020-06-18,15,6,0
POL-00210,54,Male,IN,Student,Single,535,Standard,7259.55,2023-11-18,15,4,0
POL-00211,22,Female,MO,Chef,Single,483,Premium,617.44,2021-02-28,4,6,0
POL-00212,37,Male,MD,Mechanic,Widowed,639,Comprehensive,6167.07,2020-10-13,2,8,0
POL-00213,21,Male,AZ,Mechanic,Single,648,Comprehensive,7766.9,2021-10-30,0,4,1
POL-00214,49,Male,VA,Driver,Widowed,742,Standard,5597.71,2023-09-15,12,1,0
POL-00215,69,Male,FL,Teacher,Divorced,457,Comprehensive,5837.58,2023-07-22,4,6,0
POL-00216,41,Male,FL,Software Engineer,Divorced,755,Premium,6210.1,2020-07-28,4,1,0
POL-00217,45,Female,MO,Driver,Widowed,405,Basic,1172.14,2023-02-09,2,5,1
POL-00218,18,Female,AZ,Electrician,Single,548,Standard,5639.87,2020-12-13,4,4,0
POL-00219,35,Female,PA,Teacher,Married,745,Premium,3658.27,2022-09-18,2,5,0
POL-00220,33,Female,WI,Chef,Married,768,Basic,1516.17,2020-01-14,12,5,1
POL-00221,69,Female,MA,Sales Manager,Widowed,439,Premium,2904.99,2023-11-24,6,7,0
POL-00222,29,Female,NJ,Accountant,Widowed,548,Premium,3320.41,2024-07-30,12,5,0
POL-00223,54,Male,MD,Driver,Married,327,Comprehensive,7572.31,2021-03-05,14,4,0
POL-00224,70,Female,TN,Nurse,Divorced,547,Premium,5439.97,2024-01-04,13,6,0
POL-00225,46,Female,MD,Electrician,Widowed,337,Premium,5762.26,2024-07-21,2,1,0
POL-00226,60,Female,IL,Retail Worker,Single,709,Premium,7742.88,2022-05-31,3,0,0
POL-00227,34,Male,IN,Construction Worker,Married,756,Premium,3433.51,2024-04-30,4,5,0
POL-00228,48,Male,MI,Electrician,Single,418,Standard,3112.46,2021-12-03,14,3,1
POL-00229,40,Female,NY,Lawyer,Widowed,626,Basic,2751.98,2024-07-17,3,0,0
POL-00230,59,Male,IL,Student,Married,828,Standard,4639.33,2021-11-08,13,7,0
POL-00231,69,Female,IL,Nurse,Widowed,705,Basic,6030.41,2024-12-13,6,7,1
POL-00232,42,Male,OH,Mechanic,Divorced,364,Basic,6496.27,2023-01-04,5,5,0
POL-00233,30,Female,NY,Accountant,Widowed,840,Premium,4977.28,2023-06-05,12,1,0
POL-00234,40,Female,WI,Nurse,Divorced,386,Standard,2848.89,2021-05-03,9,1,0
POL-00235,41,Male,IN,Electrician,Widowed,441,Comprehensive,3672.79,2022-09-23,5,8,0
POL-00236,49,Female,PA,Nurse,Divorced,761,Basic,6991.42,2020-01-20,15,2,0
POL-00237,70,Female,MO,Driver,Widowed,718,Comprehensive,3617.23,2024-09-16,14,7,0
POL-00238,23,Male,GA,Accountant,Single,581,Standard,4532.06,2020-12-10,14,7,0
POL-00239,54,Male,NC,Doctor,Divorced,342,Comprehensive,4597.65,2022-05-20,3,3,0
POL-00240,73,Male,MA,Accountant,Divorced,389,Comprehensive,6989.68,2020-08-28,7,3,0
POL-00241,73,Female,IL,Chef,Married,511,Standard,6540.8,2023-03-13,11,8,0
POL-00242,56,Male,NJ,Construction Worker,Divorced,596,Premium,7642.98,2022-11-19,3,2,1
POL-00243,21,Female,PA,Construction Worker,Married,555,Standard,5835.46,2024-08-23,7,6,1
POL-00244,27,Female,AZ,Electrician,Widowed,377,Basic,3521.38,2024-03-15,8,5,1
POL-00245,49,Female,MD,Software Engineer,Single,769,Premium,6875.8,2024-06-17,12,3,1
POL-00246,70,Male,TN,Accountant,Divorced,590,Premium,4604.83,2020-09-24,15,5,0
POL-00247,20,Male,MA,Software Engineer,Single,461,Comprehensive,3923.89,2022-05-26,6,2,0
POL-00248,28,Female,FL,Retail Worker,Divorced,556,Basic,3288.83,2023-08-21,5,0,1
POL-00249,58,Female,GA,Electrician,Single,397,Basic,2100.66,2020-06-08,4,3,1
POL-00250,18,Male,NJ,Freelancer,Single,732,Standard,4082.75,2021-04-13,12,1,0
POL-00251,24,Female,VA,Student,Divorced,440,Comprehensive,6300.95,2024-03-22,4,2,0
POL-00252,51,Male,WI,Retail Worker,Married,750,Premium,5918.24,2023-07-10,4,6,1
POL-00253,73,Male,FL,Student,Single,443,Basic,4921.8,2022-02-25,11,6,0
POL-00254,68,Male,GA,Accountant,Single,554,Premium,6342.27,2023-11-15,0,4,0
POL-00255,51,Male,WA,Accountant,Single,545,Comprehensive,3394.14,2021-05-08,15,1,0
POL-00256,41,Female,PA,Electrician,Widowed,674,Standard,6220.44,2024-04-26,2,0,0
POL-00257,18,Female,OH,Software Engineer,Single,707,Premium,5214.28,2022-10-23,13,6,1
POL-00258,23,Male,NC,Teacher,Divorced,380,Standard,7807.35,2020-11-14,10,6,0
POL-00259,37,Female,GA,Software Engineer,Married,388,Comprehensive,1369.9,2023-06-07,1,4,0
POL-00260,25,Male,PA,Construction Worker,Single,467,Comprehensive,7647.62,2022-12-07,8,2,0
POL-00261,26,Female,NY,Doctor,Single,643,Comprehensive,2539.85,2020-05-10,8,1,1
POL-00262,47,Female,TX,Lawyer,Married,676,Standard,2413.37,2020-07-29,3,3,0
POL-00263,20,Male,GA,Software Engineer,Widowed,672,Comprehensive,7401.7,2021-01-01,1,8,1
POL-00264,32,Female,GA,Electrician,Divorced,577,Basic,4786.52,2020-09-01,1,2,0
POL-00265,69,Male,WA,Teacher,Widowed,589,Premium,2954.76,2023-02-06,14,0,0
POL-00266,30,Female,MD,Doctor,Divorced,548,Comprehensive,3262.05,2022-10-07,6,8,0
POL-00267,27,Male,AZ,Software Engineer,Married,654,Basic,7632.43,2020-01-03,12,4,0
POL-00268,31,Male,AZ,Lawyer,Single,445,Premium,1197.7,2021-04-19,13,5,1
POL-00269,65,Male,MD,Teacher,Married,703,Basic,4939.22,2020-05-07,13,2,0
POL-00270,36,Female,NJ,Student,Widowed,634,Premium,3895.68,2021-04-23,2,3,0
POL-00271,67,Male,PA,Teacher,Married,760,Comprehensive,2855.25,2020-09-04,11,3,1
POL-00272,37,Female,NC,Freelancer,Single,392,Standard,6556.98,2021-09-15,1,3,0
POL-00273,27,Male,GA,Sales Manager,Widowed,825,Basic,5578.88,2021-06-16,5,0,1
POL-00274,72,Female,MO,Construction Worker,Married,396,Comprehensive,1264.31,2024-06-13,4,1,0
POL-00275,21,Male,PA,Mechanic,Widowed,681,Basic,4867.43,2021-06-14,2,0,0
POL-00276,30,Female,PA,Teacher,Divorced,425,Basic,7567.1,2020-04-13,5,6,1
POL-00277,49,Male,WA,Retail Worker,Widowed,476,Premium,2110.37,2021-01-18,8,4,1
POL-00278,74,Male,TX,Chef,Married,602,Comprehensive,3589.94,2023-02-01,15,0,0
POL-00279,35,Female,PA,Electrician,Married,838,Standard,5230.66,2024-06-30,0,6,0
POL-00280,48,Female,VA,Student,Divorced,697,Premium,1848.62,2021-10-15,7,0,0
POL-00281,21,Female,IN,Sales Manager,Married,463,Basic,2358.93,2021-05-08,8,8,0
POL-00282,66,Male,MD,Freelancer,Widowed,663,Standard,1820.75,2023-04-28,10,5,0
POL-00283,63,Female,MD,Chef,Married,492,Comprehensive,4565.93,2020-12-25,15,0,0
POL-00284,21,Male,WI,Mechanic,Single,839,Comprehensive,505.13,2023-06-11,6,2,0
POL-00285,63,Male,NJ,Software Engineer,Single,451,Standard,6307.75,2024-09-29,11,1,0
POL-00286,63,Female,MD,Teacher,Divorced,609,Premium,1523.39,2020-11-18,13,7,0
